movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Shanghai Knights,2/7/2003,Adventure,PG-13,60470220,84537962
The Jungle Book 2,2/14/2003,Adventure,G,47901582,66966883
Bringing Down the House,3/7/2003,Comedy,PG-13,132675402,185481530
Piglet's Big Movie,3/21/2003,Comedy,G,23103423,32298812
Ghosts of the Abyss,4/11/2003,Documentary,G,17093668,23803108
Holes,4/18/2003,Drama,PG,67383924,94203395
The Lizzie McGuire Movie,5/2/2003,Comedy,PG,42734455,59743191
Finding Nemo,5/30/2003,Adventure,G,380529370,518148559
Pirates of the Caribbean: The Curse oâ€¦,7/9/2003,Adventure,PG-13,305411224,426967926
Freaky Friday,8/6/2003,Comedy,PG,110222438,154090360
Open Range,8/15/2003,Western,R,58331254,81547672
Cold Creek Manor,9/19/2003,Thriller/Suspense,R,21384035,29895090
Under the Tuscan Sun,9/26/2003,Comedy,PG-13,43601508,60944053
Veronica Guerin,10/17/2003,Drama,R,1569918,2194759
Brother Bear,10/24/2003,Adventure,G,85336277,119218333
The Haunted Mansion,11/26/2003,Comedy,PG,75817994,105775678
Calendar Girls,12/19/2003,Comedy,PG-13,31011616,42379650
Young Black Stallion,12/25/2003,Adventure,G,6751389,9254344
Teacher's Pet: The Movie,1/16/2004,Comedy,PG,6491969,8812764
Miracle,2/6/2004,Drama,PG,64378093,87392478
Confessions of a Teenage Drama Queen,2/20/2004,Comedy,PG,29331068,39816568
Hidalgo,3/5/2004,Western,PG-13,67286731,91340921
The Ladykillers,3/26/2004,Comedy,R,39692139,53881593
Home on the Range,4/2/2004,Comedy,PG,50026353,67910166
The Alamo,4/9/2004,Western,PG-13,22406362,30416359
Raising Helen,5/28/2004,Comedy,PG-13,37485528,50886144
Around the World in 80 Days,6/16/2004,Adventure,PG,24004159,32585356
America's Heart and Soul,7/2/2004,Documentary,Not Rated,314000,426246
King Arthur,7/7/2004,Adventure,PG-13,51877963,70423706
The Village,7/30/2004,Thriller/Suspense,PG-13,114197520,155021748
The Princess Diaries 2: Royal Engagement,8/11/2004,Romantic Comedy,G,95149435,129164207
Mr. 3000,9/17/2004,Comedy,PG-13,21800302,29593641
The Last Shot,9/24/2004,Comedy,R,463730,629502
Ladder 49,10/1/2004,Action,PG-13,74541707,101161045
The Incredibles,11/5/2004,Adventure,PG,261441092,354488708
National Treasure,11/19/2004,Adventure,PG,173005002,234069353
The Life Aquatic with Steve Zissou,12/10/2004,Comedy,R,24006726,32198655
Aliens of the Deep,1/28/2005,Documentary,G,8968684,11740942
Pooh's Heffalump Movie,2/11/2005,Adventure,G,18098433,23801835
The Pacifier,3/4/2005,Comedy,PG,113006880,148619029
Ice Princess,3/18/2005,Comedy,G,24381334,32064685
A Lot Like Love,4/22/2005,Comedy,PG-13,21835784,28716947
The Hitchhiker's Guide to the Galaxy,4/29/2005,Comedy,PG,51019112,67096891
Hauru no ugoku shiro,6/10/2005,Adventure,PG,4710455,6194870
Herbie: Fully Loaded,6/22/2005,Comedy,G,66010682,86812798
Dark Water,7/8/2005,Thriller/Suspense,PG-13,25473093,33500491
Sky High,7/29/2005,Adventure,PG,63939454,84088854
Valiant,8/19/2005,Adventure,G,19478106,25616292
Flightplan,9/23/2005,Thriller/Suspense,PG-13,89706988,117960425
The Greatest Game Ever Played,9/30/2005,Drama,PG,15331289,20162672
Shopgirl,10/21/2005,Drama,R,10284523,13519621
Chicken Little,11/4/2005,Adventure,G,135386665,177954661
"The Chronicles of Narnia: The Lion, tâ€¦",12/9/2005,Adventure,PG,291710957,381557539
Casanova,12/25/2005,Drama,R,11304403,14574087
Glory Road,1/13/2006,Drama,PG,42647449,54888236
Annapolis,1/27/2006,Drama,PG-13,17127992,22044113
Roving Mars,1/27/2006,Documentary,G,10407978,12948025
Eight Below,2/17/2006,Adventure,PG,81612565,105037235
The Shaggy Dog,3/10/2006,Comedy,PG,61123569,78667428
Stay Alive,3/24/2006,Horror,PG-13,23086480,29712825
The Wild,4/14/2006,Adventure,G,37384046,48114115
Stick It,4/28/2006,Comedy,PG-13,26910736,34634731
